customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
18901,496,6,16185,1,3,3,133,Cannot Lose Them
26875,645,6,14788,1,3,3,133,Cannot Lose Them
30597,699,6,13541,1,3,3,133,Cannot Lose Them
34131,388,6,14793,1,3,3,133,Cannot Lose Them
34854,618,6,13003,1,3,3,133,Cannot Lose Them
35160,408,6,13677,1,3,3,133,Cannot Lose Them
36539,398,6,15163,1,3,3,133,Cannot Lose Them
20592,448,6,16484,1,3,3,133,Cannot Lose Them
21279,573,6,13400,1,3,3,133,Cannot Lose Them
24554,700,6,14121,1,3,3,133,Cannot Lose Them
32366,772,6,17242,1,3,3,133,Cannot Lose Them
34838,411,6,17405,1,3,3,133,Cannot Lose Them
45282,559,6,16927,1,3,3,133,Cannot Lose Them
45690,456,6,13720,1,3,3,133,Cannot Lose Them
6619,702,6,14302,1,3,3,133,Cannot Lose Them
14483,454,6,15046,1,3,3,133,Cannot Lose Them
29080,482,6,14393,1,3,3,133,Cannot Lose Them
29451,434,6,15730,1,3,3,133,Cannot Lose Them
32024,445,6,15682,1,3,3,133,Cannot Lose Them
32395,439,6,14950,1,3,3,133,Cannot Lose Them
41139,647,6,14183,1,3,3,133,Cannot Lose Them
47632,476,6,16117,1,3,3,133,Cannot Lose Them
47974,479,6,16859,1,3,3,133,Cannot Lose Them
48017,464,6,14714,1,3,3,133,Cannot Lose Them
971,497,6,16585,1,3,3,133,Cannot Lose Them
7799,419,6,14680,1,3,3,133,Cannot Lose Them
19748,437,6,14177,1,3,3,133,Cannot Lose Them
22310,419,6,16527,1,3,3,133,Cannot Lose Them
30406,377,6,14332,1,3,3,133,Cannot Lose Them
32668,547,6,15291,1,3,3,133,Cannot Lose Them
34033,512,6,13716,1,3,3,133,Cannot Lose Them
34866,760,6,13073,1,3,3,133,Cannot Lose Them
36445,518,6,17637,1,3,3,133,Cannot Lose Them
37041,378,6,15925,1,3,3,133,Cannot Lose Them
45175,550,6,15449,1,3,3,133,Cannot Lose Them
45596,395,6,16253,1,3,3,133,Cannot Lose Them
48559,431,6,16789,1,3,3,133,Cannot Lose Them
49756,589,6,16679,1,3,3,133,Cannot Lose Them
821,489,6,14570,1,3,3,133,Cannot Lose Them
3374,458,6,13410,1,3,3,133,Cannot Lose Them
3772,430,6,16438,1,3,3,133,Cannot Lose Them
7969,646,6,13492,1,3,3,133,Cannot Lose Them
26065,523,6,14729,1,3,3,133,Cannot Lose Them
38695,479,6,16380,1,3,3,133,Cannot Lose Them
42900,401,6,16517,1,3,3,133,Cannot Lose Them
43653,388,6,15621,1,3,3,133,Cannot Lose Them
43665,561,6,16516,1,3,3,133,Cannot Lose Them
1252,468,6,17489,1,3,3,133,Cannot Lose Them
7808,474,6,14406,1,3,3,133,Cannot Lose Them
14835,442,6,16342,1,3,3,133,Cannot Lose Them
19530,411,6,14648,1,3,3,133,Cannot Lose Them
29562,511,6,14179,1,3,3,133,Cannot Lose Them
36125,468,6,14407,1,3,3,133,Cannot Lose Them
3122,394,6,14538,1,3,3,133,Cannot Lose Them
11943,410,6,16540,1,3,3,133,Cannot Lose Them
15212,484,6,16967,1,3,3,133,Cannot Lose Them
19805,484,6,14450,1,3,3,133,Cannot Lose Them
20501,392,6,13487,1,3,3,133,Cannot Lose Them
21915,379,6,17396,1,3,3,133,Cannot Lose Them
26619,643,6,17798,1,3,3,133,Cannot Lose Them
26803,513,6,17558,1,3,3,133,Cannot Lose Them
29642,456,6,17098,1,3,3,133,Cannot Lose Them
48632,396,6,17185,1,3,3,133,Cannot Lose Them
1186,402,6,17521,1,3,3,133,Cannot Lose Them
7677,386,6,13888,1,3,3,133,Cannot Lose Them
8040,679,6,16179,1,3,3,133,Cannot Lose Them
14585,469,6,13399,1,3,3,133,Cannot Lose Them
25112,681,6,14518,1,3,3,133,Cannot Lose Them
29571,400,6,17650,1,3,3,133,Cannot Lose Them
45912,387,6,17771,1,3,3,133,Cannot Lose Them
8233,552,6,17627,1,3,3,133,Cannot Lose Them
13558,451,6,14386,1,3,3,133,Cannot Lose Them
23319,380,6,15995,1,3,3,133,Cannot Lose Them
33365,507,6,16114,1,3,3,133,Cannot Lose Them
33946,402,6,17772,1,3,3,133,Cannot Lose Them
34444,443,6,16251,1,3,3,133,Cannot Lose Them
34556,444,6,17550,1,3,3,133,Cannot Lose Them
37408,767,6,16032,1,3,3,133,Cannot Lose Them
48221,455,6,14714,1,3,3,133,Cannot Lose Them
4808,437,6,13391,1,3,3,133,Cannot Lose Them
14155,516,6,16169,1,3,3,133,Cannot Lose Them
14314,797,6,15705,1,3,3,133,Cannot Lose Them
21422,438,6,13630,1,3,3,133,Cannot Lose Them
27576,438,6,14990,1,3,3,133,Cannot Lose Them
39062,593,6,15990,1,3,3,133,Cannot Lose Them
46969,436,6,13375,1,3,3,133,Cannot Lose Them
49690,640,6,17078,1,3,3,133,Cannot Lose Them
13577,464,6,14800,1,3,3,133,Cannot Lose Them
16371,602,6,13008,1,3,3,133,Cannot Lose Them
19653,625,6,16921,1,3,3,133,Cannot Lose Them
29391,430,6,14531,1,3,3,133,Cannot Lose Them
37180,519,6,17236,1,3,3,133,Cannot Lose Them
38670,585,6,17152,1,3,3,133,Cannot Lose Them
43719,817,6,17616,1,3,3,133,Cannot Lose Them
46639,515,6,13272,1,3,3,133,Cannot Lose Them
7416,599,6,25547,1,3,4,134,Cannot Lose Them
10777,523,6,22827,1,3,4,134,Cannot Lose Them
12608,572,6,18674,1,3,4,134,Cannot Lose Them
17898,538,6,19830,1,3,4,134,Cannot Lose Them
28591,436,6,19281,1,3,4,134,Cannot Lose Them
42168,425,6,18386,1,3,4,134,Cannot Lose Them
46527,454,6,20083,1,3,4,134,Cannot Lose Them
12944,396,6,18368,1,3,4,134,Cannot Lose Them
17356,410,6,22923,1,3,4,134,Cannot Lose Them
26357,586,6,19815,1,3,4,134,Cannot Lose Them
30855,459,6,18099,1,3,4,134,Cannot Lose Them
36694,397,6,21736,1,3,4,134,Cannot Lose Them
41864,383,6,19753,1,3,4,134,Cannot Lose Them
42808,694,6,20682,1,3,4,134,Cannot Lose Them
42903,659,6,22656,1,3,4,134,Cannot Lose Them
1722,534,6,19454,1,3,4,134,Cannot Lose Them
2054,639,6,18994,1,3,4,134,Cannot Lose Them
2812,501,6,18438,1,3,4,134,Cannot Lose Them
4350,399,6,18970,1,3,4,134,Cannot Lose Them
15688,566,6,22553,1,3,4,134,Cannot Lose Them
18531,426,6,20654,1,3,4,134,Cannot Lose Them
37417,391,6,19840,1,3,4,134,Cannot Lose Them
43735,448,6,20740,1,3,4,134,Cannot Lose Them
5961,386,6,21050,1,3,4,134,Cannot Lose Them
12523,419,6,19554,1,3,4,134,Cannot Lose Them
21664,503,6,20135,1,3,4,134,Cannot Lose Them
22174,440,6,21290,1,3,4,134,Cannot Lose Them
24447,435,6,18114,1,3,4,134,Cannot Lose Them
25419,645,6,20497,1,3,4,134,Cannot Lose Them
28063,412,6,20961,1,3,4,134,Cannot Lose Them
47800,412,6,18565,1,3,4,134,Cannot Lose Them
1003,520,6,19677,1,3,4,134,Cannot Lose Them
23334,448,6,19477,1,3,4,134,Cannot Lose Them
27329,492,6,20663,1,3,4,134,Cannot Lose Them
48049,427,6,20344,1,3,4,134,Cannot Lose Them
16696,490,6,17937,1,3,4,134,Cannot Lose Them
17503,387,6,23364,1,3,4,134,Cannot Lose Them
17749,687,6,20113,1,3,4,134,Cannot Lose Them
35997,412,6,23538,1,3,4,134,Cannot Lose Them
38784,412,6,19679,1,3,4,134,Cannot Lose Them
3381,798,6,20538,1,3,4,134,Cannot Lose Them
9821,552,6,21296,1,3,4,134,Cannot Lose Them
29065,442,6,18925,1,3,4,134,Cannot Lose Them
30362,683,6,24954,1,3,4,134,Cannot Lose Them
33683,388,6,18444,1,3,4,134,Cannot Lose Them
7954,496,6,18980,1,3,4,134,Cannot Lose Them
8799,457,6,21608,1,3,4,134,Cannot Lose Them
13683,411,6,20961,1,3,4,134,Cannot Lose Them
20026,402,6,20318,1,3,4,134,Cannot Lose Them
35288,558,6,21178,1,3,4,134,Cannot Lose Them
37057,402,6,18037,1,3,4,134,Cannot Lose Them
44900,460,6,19235,1,3,4,134,Cannot Lose Them
45908,477,6,21821,1,3,4,134,Cannot Lose Them
9126,385,6,21300,1,3,4,134,Cannot Lose Them
21210,661,6,19662,1,3,4,134,Cannot Lose Them
23177,536,6,18023,1,3,4,134,Cannot Lose Them
36908,626,6,21667,1,3,4,134,Cannot Lose Them
7496,483,6,19704,1,3,4,134,Cannot Lose Them
20167,377,6,19403,1,3,4,134,Cannot Lose Them
30903,432,6,19449,1,3,4,134,Cannot Lose Them
37519,481,6,20131,1,3,4,134,Cannot Lose Them
42358,457,6,22792,1,3,4,134,Cannot Lose Them
45296,393,6,21241,1,3,4,134,Cannot Lose Them
14993,528,6,20996,1,3,4,134,Cannot Lose Them
32167,423,6,18584,1,3,4,134,Cannot Lose Them
11749,394,6,23433,1,3,4,134,Cannot Lose Them
19181,428,6,23271,1,3,4,134,Cannot Lose Them
30469,592,6,18038,1,3,4,134,Cannot Lose Them
36656,375,6,18647,1,3,4,134,Cannot Lose Them
44850,381,6,17971,1,3,4,134,Cannot Lose Them
17816,629,6,24359,1,3,4,134,Cannot Lose Them
19049,676,6,22562,1,3,4,134,Cannot Lose Them
29203,400,6,23926,1,3,4,134,Cannot Lose Them
11007,556,6,18637,1,3,4,134,Cannot Lose Them
11543,394,6,22013,1,3,4,134,Cannot Lose Them
14972,428,6,18570,1,3,4,134,Cannot Lose Them
16646,390,6,18557,1,3,4,134,Cannot Lose Them
20207,678,6,23432,1,3,4,134,Cannot Lose Them
48366,512,6,20444,1,3,4,134,Cannot Lose Them
48449,408,6,18751,1,3,4,134,Cannot Lose Them
7904,433,6,22059,1,3,4,134,Cannot Lose Them
13523,402,6,18392,1,3,4,134,Cannot Lose Them
16091,400,6,21140,1,3,4,134,Cannot Lose Them
19166,677,6,18303,1,3,4,134,Cannot Lose Them
25950,478,6,19374,1,3,4,134,Cannot Lose Them
32741,453,6,20959,1,3,4,134,Cannot Lose Them
469,616,6,19161,1,3,4,134,Cannot Lose Them
4360,447,6,18358,1,3,4,134,Cannot Lose Them
5642,385,6,19542,1,3,4,134,Cannot Lose Them
9171,425,6,21662,1,3,4,134,Cannot Lose Them
19809,380,6,22149,1,3,4,134,Cannot Lose Them
30439,433,6,21775,1,3,4,134,Cannot Lose Them
44303,550,6,18200,1,3,4,134,Cannot Lose Them
49493,562,6,19465,1,3,4,134,Cannot Lose Them
8775,431,6,21340,1,3,4,134,Cannot Lose Them
23980,436,6,22993,1,3,4,134,Cannot Lose Them
28708,475,6,19093,1,3,4,134,Cannot Lose Them
29144,616,6,19490,1,3,4,134,Cannot Lose Them
43932,684,6,18346,1,3,4,134,Cannot Lose Them
45461,406,6,19023,1,3,4,134,Cannot Lose Them
48088,380,6,20950,1,3,4,134,Cannot Lose Them
5148,590,6,18191,1,3,4,134,Cannot Lose Them
6615,393,6,21341,1,3,4,134,Cannot Lose Them
10152,430,6,20355,1,3,4,134,Cannot Lose Them
11550,379,6,20457,1,3,4,134,Cannot Lose Them
16334,487,6,19997,1,3,4,134,Cannot Lose Them
30330,474,6,22515,1,3,4,134,Cannot Lose Them
37317,419,6,18947,1,3,4,134,Cannot Lose Them
44579,599,6,20625,1,3,4,134,Cannot Lose Them
13450,518,6,19778,1,3,4,134,Cannot Lose Them
18319,430,6,19881,1,3,4,134,Cannot Lose Them
32451,425,6,21665,1,3,4,134,Cannot Lose Them
42910,687,6,20068,1,3,4,134,Cannot Lose Them
10731,628,6,19269,1,3,4,134,Cannot Lose Them
12540,419,6,18657,1,3,4,134,Cannot Lose Them
31432,551,6,21764,1,3,4,134,Cannot Lose Them
44646,470,6,20107,1,3,4,134,Cannot Lose Them
45085,524,6,20018,1,3,4,134,Cannot Lose Them
22189,374,6,18665,1,3,4,134,Cannot Lose Them
22424,590,6,22326,1,3,4,134,Cannot Lose Them
27699,638,6,20137,1,3,4,134,Cannot Lose Them
1213,608,6,20167,1,3,4,134,Cannot Lose Them
6363,818,6,21578,1,3,4,134,Cannot Lose Them
6367,549,6,20338,1,3,4,134,Cannot Lose Them
22436,899,6,20322,1,3,4,134,Cannot Lose Them
28315,417,6,18783,1,3,4,134,Cannot Lose Them
38552,416,6,20065,1,3,4,134,Cannot Lose Them
48931,443,6,19242,1,3,4,134,Cannot Lose Them
1302,409,6,19702,1,3,4,134,Cannot Lose Them
12655,697,6,19489,1,3,4,134,Cannot Lose Them
23447,383,6,18259,1,3,4,134,Cannot Lose Them
25402,413,6,22436,1,3,4,134,Cannot Lose Them
37192,702,6,23260,1,3,4,134,Cannot Lose Them
40090,455,6,18509,1,3,4,134,Cannot Lose Them
48613,492,6,24464,1,3,4,134,Cannot Lose Them
6301,440,6,20464,1,3,4,134,Cannot Lose Them
6842,438,6,19211,1,3,4,134,Cannot Lose Them
9738,760,6,19622,1,3,4,134,Cannot Lose Them
3653,403,6,17994,1,3,4,134,Cannot Lose Them
8093,416,6,18505,1,3,4,134,Cannot Lose Them
24232,497,6,20010,1,3,4,134,Cannot Lose Them
10787,423,6,22894,1,3,4,134,Cannot Lose Them
20978,452,6,21742,1,3,4,134,Cannot Lose Them
31925,556,6,18720,1,3,4,134,Cannot Lose Them
39297,544,6,18628,1,3,4,134,Cannot Lose Them
48712,406,6,19987,1,3,4,134,Cannot Lose Them
1069,467,6,20626,1,3,4,134,Cannot Lose Them
2847,385,6,19863,1,3,4,134,Cannot Lose Them
5104,396,6,21765,1,3,4,134,Cannot Lose Them
31865,380,6,19137,1,3,4,134,Cannot Lose Them
36492,459,6,21661,1,3,4,134,Cannot Lose Them
45945,774,6,19090,1,3,4,134,Cannot Lose Them
889,373,6,19347,1,3,4,134,Cannot Lose Them
2460,450,6,18935,1,3,4,134,Cannot Lose Them
2781,414,6,19906,1,3,4,134,Cannot Lose Them
21255,426,6,20761,1,3,4,134,Cannot Lose Them
24089,400,6,18486,1,3,4,134,Cannot Lose Them
24439,452,6,22953,1,3,4,134,Cannot Lose Them
48268,427,6,18266,1,3,4,134,Cannot Lose Them
536,595,6,20509,1,3,4,134,Cannot Lose Them
1197,539,6,20524,1,3,4,134,Cannot Lose Them
7800,515,6,19739,1,3,4,134,Cannot Lose Them
8839,698,6,21203,1,3,4,134,Cannot Lose Them
12199,600,6,18358,1,3,4,134,Cannot Lose Them
16973,416,6,24450,1,3,4,134,Cannot Lose Them
21509,598,6,18907,1,3,4,134,Cannot Lose Them
24378,406,6,19584,1,3,4,134,Cannot Lose Them
17065,393,6,18927,1,3,4,134,Cannot Lose Them
25884,533,6,19019,1,3,4,134,Cannot Lose Them
29920,446,6,19902,1,3,4,134,Cannot Lose Them
31299,417,6,19410,1,3,4,134,Cannot Lose Them
34229,668,6,18695,1,3,4,134,Cannot Lose Them
48356,384,6,18475,1,3,4,134,Cannot Lose Them
1469,439,6,18130,1,3,4,134,Cannot Lose Them
12165,661,6,20201,1,3,4,134,Cannot Lose Them
14723,383,6,22770,1,3,4,134,Cannot Lose Them
21225,783,6,21035,1,3,4,134,Cannot Lose Them
38276,420,6,18693,1,3,4,134,Cannot Lose Them
39617,424,6,21247,1,3,4,134,Cannot Lose Them
49017,487,6,18178,1,3,4,134,Cannot Lose Them
119,435,6,18014,1,3,4,134,Cannot Lose Them
2510,395,6,21278,1,3,4,134,Cannot Lose Them
5304,522,6,20443,1,3,4,134,Cannot Lose Them
14253,570,6,18898,1,3,4,134,Cannot Lose Them
33768,420,6,24339,1,3,4,134,Cannot Lose Them
35464,620,6,20618,1,3,4,134,Cannot Lose Them
14818,429,6,18494,1,3,4,134,Cannot Lose Them
20181,607,6,19662,1,3,4,134,Cannot Lose Them
24678,488,6,18338,1,3,4,134,Cannot Lose Them
25268,457,6,19772,1,3,4,134,Cannot Lose Them
14547,390,6,19951,1,3,4,134,Cannot Lose Them
17334,768,6,20523,1,3,4,134,Cannot Lose Them
33509,557,6,21090,1,3,4,134,Cannot Lose Them
35057,379,6,18976,1,3,4,134,Cannot Lose Them
37596,392,6,21270,1,3,4,134,Cannot Lose Them
48461,420,6,18678,1,3,4,134,Cannot Lose Them
49988,923,6,19285,1,3,4,134,Cannot Lose Them
2525,374,6,21267,1,3,4,134,Cannot Lose Them
2963,471,6,21182,1,3,4,134,Cannot Lose Them
10310,427,6,19818,1,3,4,134,Cannot Lose Them
20055,479,6,20518,1,3,4,134,Cannot Lose Them
23008,405,6,19989,1,3,4,134,Cannot Lose Them
41930,666,6,19180,1,3,4,134,Cannot Lose Them
45695,419,6,19796,1,3,4,134,Cannot Lose Them
46342,380,6,22693,1,3,4,134,Cannot Lose Them
893,491,6,23539,1,3,4,134,Cannot Lose Them
4951,396,6,18651,1,3,4,134,Cannot Lose Them
15080,454,6,20569,1,3,4,134,Cannot Lose Them
20563,589,6,19827,1,3,4,134,Cannot Lose Them
22079,376,6,19576,1,3,4,134,Cannot Lose Them
27391,706,6,17989,1,3,4,134,Cannot Lose Them
30506,381,6,19262,1,3,4,134,Cannot Lose Them
34453,600,6,18203,1,3,4,134,Cannot Lose Them
35729,412,6,19568,1,3,4,134,Cannot Lose Them
41329,782,6,17944,1,3,4,134,Cannot Lose Them
43325,450,6,22126,1,3,4,134,Cannot Lose Them
43924,758,6,21243,1,3,4,134,Cannot Lose Them
45075,515,6,26821,1,3,4,134,Cannot Lose Them
47867,783,6,18469,1,3,4,134,Cannot Lose Them
6018,477,6,20340,1,3,4,134,Cannot Lose Them
6705,429,6,18570,1,3,4,134,Cannot Lose Them
6821,442,6,21413,1,3,4,134,Cannot Lose Them
22033,480,6,21005,1,3,4,134,Cannot Lose Them
36140,799,6,18655,1,3,4,134,Cannot Lose Them
43057,428,6,20124,1,3,4,134,Cannot Lose Them
46764,431,6,20495,1,3,4,134,Cannot Lose Them
7082,614,6,20695,1,3,4,134,Cannot Lose Them
11866,700,6,20475,1,3,4,134,Cannot Lose Them
26935,658,6,20831,1,3,4,134,Cannot Lose Them
29860,598,6,18085,1,3,4,134,Cannot Lose Them
35773,467,6,19748,1,3,4,134,Cannot Lose Them
49639,499,6,20389,1,3,4,134,Cannot Lose Them
1968,578,6,20266,1,3,4,134,Cannot Lose Them
7670,634,6,21399,1,3,4,134,Cannot Lose Them
15845,495,6,19013,1,3,4,134,Cannot Lose Them
16391,726,6,20212,1,3,4,134,Cannot Lose Them
17057,401,6,20900,1,3,4,134,Cannot Lose Them
27266,381,6,20952,1,3,4,134,Cannot Lose Them
28461,597,6,18096,1,3,4,134,Cannot Lose Them
32542,618,6,18070,1,3,4,134,Cannot Lose Them
32956,486,6,19617,1,3,4,134,Cannot Lose Them
36093,572,6,19346,1,3,4,134,Cannot Lose Them
44878,380,6,18277,1,3,4,134,Cannot Lose Them
2865,378,6,22657,1,3,4,134,Cannot Lose Them
7244,381,6,18801,1,3,4,134,Cannot Lose Them
15036,421,6,18209,1,3,4,134,Cannot Lose Them
19389,436,6,19890,1,3,4,134,Cannot Lose Them
21802,449,6,20524,1,3,4,134,Cannot Lose Them
22197,438,6,24851,1,3,4,134,Cannot Lose Them
29224,581,6,22474,1,3,4,134,Cannot Lose Them
30500,529,6,18062,1,3,4,134,Cannot Lose Them
32826,522,6,19219,1,3,4,134,Cannot Lose Them
38595,484,6,20138,1,3,4,134,Cannot Lose Them
38643,656,6,22278,1,3,4,134,Cannot Lose Them
48577,478,6,19195,1,3,4,134,Cannot Lose Them
5701,717,6,19677,1,3,4,134,Cannot Lose Them
14740,648,6,19733,1,3,4,134,Cannot Lose Them
29650,402,6,19882,1,3,4,134,Cannot Lose Them
33255,403,6,24932,1,3,4,134,Cannot Lose Them
35269,465,6,18577,1,3,4,134,Cannot Lose Them
37348,421,6,20607,1,3,4,134,Cannot Lose Them
41458,532,6,20252,1,3,4,134,Cannot Lose Them
43613,568,6,18494,1,3,4,134,Cannot Lose Them
49907,803,6,23019,1,3,4,134,Cannot Lose Them
1688,407,6,21265,1,3,4,134,Cannot Lose Them
22311,397,6,22383,1,3,4,134,Cannot Lose Them
31169,416,6,22927,1,3,4,134,Cannot Lose Them
33914,441,6,18181,1,3,4,134,Cannot Lose Them
34646,393,6,19723,1,3,4,134,Cannot Lose Them
40713,378,6,24105,1,3,4,134,Cannot Lose Them
46329,407,6,19163,1,3,4,134,Cannot Lose Them
47732,390,6,19067,1,3,4,134,Cannot Lose Them
8171,492,6,22358,1,3,4,134,Cannot Lose Them
9931,435,6,20025,1,3,4,134,Cannot Lose Them
14404,463,6,21256,1,3,4,134,Cannot Lose Them
21034,489,6,21772,1,3,4,134,Cannot Lose Them
34910,510,6,19107,1,3,4,134,Cannot Lose Them
44518,444,6,19421,1,3,4,134,Cannot Lose Them
46869,376,6,19786,1,3,4,134,Cannot Lose Them
8987,631,6,25117,1,3,4,134,Cannot Lose Them
9218,421,6,20383,1,3,4,134,Cannot Lose Them
10481,596,6,21952,1,3,4,134,Cannot Lose Them
15123,395,6,20942,1,3,4,134,Cannot Lose Them
19797,392,6,18066,1,3,4,134,Cannot Lose Them
24633,510,6,22220,1,3,4,134,Cannot Lose Them
24726,383,6,24162,1,3,4,134,Cannot Lose Them
43005,885,6,19658,1,3,4,134,Cannot Lose Them
46419,388,6,18791,1,3,4,134,Cannot Lose Them
11591,479,6,18715,1,3,4,134,Cannot Lose Them
12787,373,6,24709,1,3,4,134,Cannot Lose Them
19457,443,6,18927,1,3,4,134,Cannot Lose Them
21239,582,6,18864,1,3,4,134,Cannot Lose Them
22964,475,6,18366,1,3,4,134,Cannot Lose Them
31545,511,6,23000,1,3,4,134,Cannot Lose Them
38357,608,6,18035,1,3,4,134,Cannot Lose Them
40936,795,6,20128,1,3,4,134,Cannot Lose Them
46243,567,6,18911,1,3,4,134,Cannot Lose Them
47297,471,6,18529,1,3,4,134,Cannot Lose Them
587,595,6,19135,1,3,4,134,Cannot Lose Them
7042,498,6,20443,1,3,4,134,Cannot Lose Them
11904,874,6,18028,1,3,4,134,Cannot Lose Them
27893,757,6,21042,1,3,4,134,Cannot Lose Them
28302,597,6,19021,1,3,4,134,Cannot Lose Them
34365,877,6,20136,1,3,4,134,Cannot Lose Them
37548,870,6,17932,1,3,4,134,Cannot Lose Them
38617,409,6,19988,1,3,4,134,Cannot Lose Them
42258,560,6,20148,1,3,4,134,Cannot Lose Them
4453,537,6,18480,1,3,4,134,Cannot Lose Them
6379,668,6,21990,1,3,4,134,Cannot Lose Them
6482,400,6,18680,1,3,4,134,Cannot Lose Them
26911,545,6,20192,1,3,4,134,Cannot Lose Them
41707,392,6,22380,1,3,4,134,Cannot Lose Them
42764,394,6,18833,1,3,4,134,Cannot Lose Them
45844,595,6,21300,1,3,4,134,Cannot Lose Them
21180,374,6,19176,1,3,4,134,Cannot Lose Them
32182,536,6,21609,1,3,4,134,Cannot Lose Them
32383,429,6,20231,1,3,4,134,Cannot Lose Them
32836,452,6,23461,1,3,4,134,Cannot Lose Them
36862,562,6,19639,1,3,4,134,Cannot Lose Them
39443,525,6,21788,1,3,4,134,Cannot Lose Them
40092,520,6,19004,1,3,4,134,Cannot Lose Them
43375,669,6,18145,1,3,4,134,Cannot Lose Them
43441,442,6,20512,1,3,4,134,Cannot Lose Them
767,439,6,19659,1,3,4,134,Cannot Lose Them
14274,381,6,25602,1,3,4,134,Cannot Lose Them
16035,673,6,18922,1,3,4,134,Cannot Lose Them
20252,508,6,20290,1,3,4,134,Cannot Lose Them
31093,468,6,22959,1,3,4,134,Cannot Lose Them
40427,627,6,18489,1,3,4,134,Cannot Lose Them
3650,428,6,23130,1,3,4,134,Cannot Lose Them
11046,477,6,22548,1,3,4,134,Cannot Lose Them
16768,484,6,19781,1,3,4,134,Cannot Lose Them
17914,447,6,18414,1,3,4,134,Cannot Lose Them
27163,685,6,18843,1,3,4,134,Cannot Lose Them
31238,396,6,21843,1,3,4,134,Cannot Lose Them
39437,404,6,19228,1,3,4,134,Cannot Lose Them
6425,625,6,21080,1,3,4,134,Cannot Lose Them
8498,408,6,21367,1,3,4,134,Cannot Lose Them
10940,568,6,19167,1,3,4,134,Cannot Lose Them
12002,551,6,21609,1,3,4,134,Cannot Lose Them
18659,545,6,18265,1,3,4,134,Cannot Lose Them
19243,930,6,17921,1,3,4,134,Cannot Lose Them
24545,373,6,18518,1,3,4,134,Cannot Lose Them
28864,401,6,20005,1,3,4,134,Cannot Lose Them
32568,572,6,20307,1,3,4,134,Cannot Lose Them
34354,436,6,20086,1,3,4,134,Cannot Lose Them
37708,455,6,18514,1,3,4,134,Cannot Lose Them
6935,631,6,20156,1,3,4,134,Cannot Lose Them
7912,676,6,19024,1,3,4,134,Cannot Lose Them
12276,443,6,20388,1,3,4,134,Cannot Lose Them
13372,402,6,23418,1,3,4,134,Cannot Lose Them
33825,488,6,19271,1,3,4,134,Cannot Lose Them
38002,467,6,18227,1,3,4,134,Cannot Lose Them
18050,469,6,24871,1,3,4,134,Cannot Lose Them
40450,494,6,21919,1,3,4,134,Cannot Lose Them
1121,637,7,21194,1,4,4,144,Cannot Lose Them
9194,380,8,20852,1,4,4,144,Cannot Lose Them
12506,549,8,25700,1,4,4,144,Cannot Lose Them
17184,530,8,19375,1,4,4,144,Cannot Lose Them
19544,483,7,24623,1,4,4,144,Cannot Lose Them
27642,452,8,22123,1,4,4,144,Cannot Lose Them
36883,389,7,17921,1,4,4,144,Cannot Lose Them
43906,421,9,24640,1,4,4,144,Cannot Lose Them
49023,542,7,22021,1,4,4,144,Cannot Lose Them
9290,752,8,24616,1,4,4,144,Cannot Lose Them
10838,374,7,21913,1,4,4,144,Cannot Lose Them
12895,440,7,22281,1,4,4,144,Cannot Lose Them
14100,543,8,21864,1,4,4,144,Cannot Lose Them
14122,483,7,23237,1,4,4,144,Cannot Lose Them
17967,416,7,22969,1,4,4,144,Cannot Lose Them
25199,425,8,17995,1,4,4,144,Cannot Lose Them
39932,414,10,26295,1,4,4,144,Cannot Lose Them
40212,525,7,20337,1,4,4,144,Cannot Lose Them
46000,460,10,21986,1,4,4,144,Cannot Lose Them
14562,560,7,18725,1,4,4,144,Cannot Lose Them
16893,600,8,20114,1,4,4,144,Cannot Lose Them
19135,818,7,22063,1,4,4,144,Cannot Lose Them
29346,524,7,23759,1,4,4,144,Cannot Lose Them
36486,491,10,30349,1,4,4,144,Cannot Lose Them
39173,545,8,19034,1,4,4,144,Cannot Lose Them
47206,688,9,21769,1,4,4,144,Cannot Lose Them
49730,611,8,22783,1,4,4,144,Cannot Lose Them
25262,393,12,37783,1,4,4,144,Cannot Lose Them
25485,378,9,26309,1,4,4,144,Cannot Lose Them
34417,398,7,18737,1,4,4,144,Cannot Lose Them
37615,679,8,18601,1,4,4,144,Cannot Lose Them
46697,479,7,24352,1,4,4,144,Cannot Lose Them
1139,377,8,22735,1,4,4,144,Cannot Lose Them
11073,397,9,29583,1,4,4,144,Cannot Lose Them
11658,415,9,21047,1,4,4,144,Cannot Lose Them
11899,766,7,21344,1,4,4,144,Cannot Lose Them
14659,574,8,21800,1,4,4,144,Cannot Lose Them
15783,380,8,21204,1,4,4,144,Cannot Lose Them
20287,541,7,18512,1,4,4,144,Cannot Lose Them
23622,373,11,32048,1,4,4,144,Cannot Lose Them
23945,514,7,21744,1,4,4,144,Cannot Lose Them
44412,502,7,24099,1,4,4,144,Cannot Lose Them
3365,407,7,21768,1,4,4,144,Cannot Lose Them
4753,410,7,24584,1,4,4,144,Cannot Lose Them
17025,786,8,24968,1,4,4,144,Cannot Lose Them
25091,553,10,22678,1,4,4,144,Cannot Lose Them
26150,387,7,21534,1,4,4,144,Cannot Lose Them
32788,491,8,24516,1,4,4,144,Cannot Lose Them
33390,633,7,21952,1,4,4,144,Cannot Lose Them
